9378	NRXN1	neurexin 1 [Source:HGNC Symbol;Acc:HGNC:8008]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5		MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS		ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS		BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HRN			GOBP_CELL_PROJECTION_ORGANIZATION		MANNO_MIDBRAIN_NEUROTYPES_HSERT
8507	ENC1	ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1	MANNO_MIDBRAIN_NEUROTYPES_HNBML5		MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS			GOBP_NEUROGENESIS	ZHONG_PFC_C3_ASTROCYTE	BLALOCK_ALZHEIMERS_DISEASE_DN		GOBP_NEURON_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HRN			GOBP_CELL_PROJECTION_ORGANIZATION		
2596	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION	ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS	ZHONG_PFC_C3_ASTROCYTE	BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HRN	GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HNBML1	GOBP_CELL_PROJECTION_ORGANIZATION		MANNO_MIDBRAIN_NEUROTYPES_HSERT
6860	SYT4	synaptotagmin 4 [Source:HGNC Symbol;Acc:HGNC:11512]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION	ZHONG_PFC_C3_MICROGLIA	GOBP_NEUROGENESIS	ZHONG_PFC_C3_ASTROCYTE		GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT			MANNO_MIDBRAIN_NEUROTYPES_HNBML1	GOBP_CELL_PROJECTION_ORGANIZATION		
10752	CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA	GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS		BLALOCK_ALZHEIMERS_DISEASE_DN		GOBP_NEURON_DEVELOPMENT				GOBP_CELL_PROJECTION_ORGANIZATION		
777	CACNA1E	calcium voltage-gated channel subunit alpha1 E [Source:HGNC Symbol;Acc:HGNC:1392]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1		MANNO_MIDBRAIN_NEUROTYPES_HDA2	MANNO_MIDBRAIN_NEUROTYPES_HDA			ZHONG_PFC_C3_MICROGLIA		ZHONG_PFC_C3_ASTROCYTE		GOCC_SYNAPSE							MANNO_MIDBRAIN_NEUROTYPES_HSERT
6546	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA	MANNO_MIDBRAIN_NEUROTYPES_HDA1					GOCC_NEURON_PROJECTION					GOCC_SYNAPSE			GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT			GOBP_HEAD_DEVELOPMENT	
2891	GRIA2	glutamate ionotropic receptor AMPA type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4572]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA		MANNO_MIDBRAIN_NEUROTYPES_HNBML5	MANNO_MIDBRAIN_NEUROTYPES_HDA2			GOCC_NEURON_PROJECTION				BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE		MANNO_MIDBRAIN_NEUROTYPES_HRN		MANNO_MIDBRAIN_NEUROTYPES_HNBML1			MANNO_MIDBRAIN_NEUROTYPES_HSERT
64919	BCL11B	BAF chromatin remodeling complex subunit BCL11B [Source:HGNC Symbol;Acc:HGNC:13222]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA		MANNO_MIDBRAIN_NEUROTYPES_HNBML5			GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS		BLALOCK_ALZHEIMERS_DISEASE_DN		GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	
5101	PCDH9	protocadherin 9 [Source:HGNC Symbol;Acc:HGNC:8661]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA		MANNO_MIDBRAIN_NEUROTYPES_HNBML5				GOCC_NEURON_PROJECTION							MANNO_MIDBRAIN_NEUROTYPES_HRN		MANNO_MIDBRAIN_NEUROTYPES_HNBML1			MANNO_MIDBRAIN_NEUROTYPES_HSERT
862	RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA		MANNO_MIDBRAIN_NEUROTYPES_HNBML5					ZHONG_PFC_C3_MICROGLIA		ZHONG_PFC_C3_ASTROCYTE	BLALOCK_ALZHEIMERS_DISEASE_DN			MANNO_MIDBRAIN_NEUROTYPES_HRN					
10777	ARPP21	cAMP regulated phosphoprotein 21 [Source:HGNC Symbol;Acc:HGNC:16968]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA		MANNO_MIDBRAIN_NEUROTYPES_HNBML5					ZHONG_PFC_C3_MICROGLIA		ZHONG_PFC_C3_ASTROCYTE						MANNO_MIDBRAIN_NEUROTYPES_HNBML1			
6857	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA					GOBP_GENERATION_OF_NEURONS	GOCC_NEURON_PROJECTION		GOBP_NEUROGENESIS	ZHONG_PFC_C3_ASTROCYTE	BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE	GOBP_NEURON_DEVELOPMENT		GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT		GOBP_CELL_PROJECTION_ORGANIZATION	GOBP_HEAD_DEVELOPMENT	MANNO_MIDBRAIN_NEUROTYPES_HSERT
490	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA						GOCC_NEURON_PROJECTION				BLALOCK_ALZHEIMERS_DISEASE_DN	GOCC_SYNAPSE			GOBP_CENTRAL_NERVOUS_SYSTEM_DEVELOPMENT			GOBP_HEAD_DEVELOPMENT	
10659	CELF2	CUGBP Elav-like family member 2 [Source:HGNC Symbol;Acc:HGNC:2550]	MANNO_MIDBRAIN_NEUROTYPES_HNBGABA	MANNO_MIDBRAIN_NEUROTYPES_HGABA									ZHONG_PFC_C3_ASTROCYTE									
