4240	MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER				LEIN_ASTROCYTE_MARKERS		FAN_EMBRYONIC_CTX_ASTROCYTE_2	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL				GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	GOBP_CELL_ADHESION	
1910	EDNRB	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3			MANNO_MIDBRAIN_NEUROTYPES_HOPC	FAN_EMBRYONIC_CTX_ASTROCYTE_2	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL	ZHONG_PFC_MAJOR_TYPES_OPC	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					
26227	PHGDH	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3			MANNO_MIDBRAIN_NEUROTYPES_HOPC		MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL								
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:2715]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B			MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1			FAN_EMBRYONIC_CTX_ASTROCYTE_2				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					
5992	RFX4	regulatory factor X4 [Source:HGNC Symbol;Acc:HGNC:9985]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B			MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1												
2173	FABP7	fatty acid binding protein 7 [Source:HGNC Symbol;Acc:HGNC:3562]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL		ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C		MANNO_MIDBRAIN_NEUROTYPES_HRGL1		MANNO_MIDBRAIN_NEUROTYPES_HOPC					GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					
11341	SCRG1	stimulator of chondrogenesis 1 [Source:HGNC Symbol;Acc:HGNC:17036]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL		ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C				MANNO_MIDBRAIN_NEUROTYPES_HOPC				ZHONG_PFC_MAJOR_TYPES_OPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		
1191	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL		ZHONG_PFC_C9_ORG_OTHER		MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1	LEIN_ASTROCYTE_MARKERS		FAN_EMBRYONIC_CTX_ASTROCYTE_2				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		
230	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL						LEIN_ASTROCYTE_MARKERS		FAN_EMBRYONIC_CTX_ASTROCYTE_2									
10630	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1							GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_CELL_ADHESION	
4853	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER		MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1				MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION					HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
5376	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1		MANNO_MIDBRAIN_NEUROTYPES_HOPC		MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
9444	QKI	QKI, KH domain containing RNA binding [Source:HGNC Symbol;Acc:HGNC:21100]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1		MANNO_MIDBRAIN_NEUROTYPES_HOPC		MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL						DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		
6662	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1		MANNO_MIDBRAIN_NEUROTYPES_HOPC			HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_CELL_ADHESION	
677	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B			MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL1		MANNO_MIDBRAIN_NEUROTYPES_HOPC		MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_CELL_ADHESION	
7412	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B			MANNO_MIDBRAIN_NEUROTYPES_HRGL3				FAN_EMBRYONIC_CTX_ASTROCYTE_2		HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
5654	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A				MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HRGL3				FAN_EMBRYONIC_CTX_ASTROCYTE_2	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE			HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1901	S1PR1	sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A						MANNO_MIDBRAIN_NEUROTYPES_HRGL1	LEIN_ASTROCYTE_MARKERS		FAN_EMBRYONIC_CTX_ASTROCYTE_2				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_CELL_ADHESION	
1622	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C			LEIN_ASTROCYTE_MARKERS	MANNO_MIDBRAIN_NEUROTYPES_HOPC				ZHONG_PFC_MAJOR_TYPES_OPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		
5954	RCN1	reticulocalbin 1 [Source:HGNC Symbol;Acc:HGNC:9934]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL					MANNO_MIDBRAIN_NEUROTYPES_HRGL1				MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL							
151887	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL									MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	HAY_BONE_MARROW_STROMAL			GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE		GOBP_CELL_ADHESION	
928	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL											ZHONG_PFC_MAJOR_TYPES_OPC	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION				GOBP_CELL_ADHESION	
