7431	VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3		MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	MANNO_MIDBRAIN_NEUROTYPES_HRGL1	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM		MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	ZHONG_PFC_MAJOR_TYPES_NPCS	MANNO_MIDBRAIN_NEUROTYPES_HPROGM	DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA				HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1622	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL	MANNO_MIDBRAIN_NEUROTYPES_HRGL2B		ZHONG_PFC_C9_ORG_OTHER		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C					MANNO_MIDBRAIN_NEUROTYPES_HOPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA		LEIN_ASTROCYTE_MARKERS		
1191	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL		MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3			MANNO_MIDBRAIN_NEUROTYPES_HRGL1							DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	LEIN_ASTROCYTE_MARKERS		
2173	FABP7	fatty acid binding protein 7 [Source:HGNC Symbol;Acc:HGNC:3562]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL		MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C		MANNO_MIDBRAIN_NEUROTYPES_HRGL1			MANNO_MIDBRAIN_NEUROTYPES_HOPC					GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			
11341	SCRG1	stimulator of chondrogenesis 1 [Source:HGNC Symbol;Acc:HGNC:17036]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL		MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER		MANNO_MIDBRAIN_NEUROTYPES_HRGL2C					MANNO_MIDBRAIN_NEUROTYPES_HOPC				DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA				
5954	RCN1	reticulocalbin 1 [Source:HGNC Symbol;Acc:HGNC:9934]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL							MANNO_MIDBRAIN_NEUROTYPES_HRGL1	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM		MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL	ZHONG_PFC_MAJOR_TYPES_NPCS	MANNO_MIDBRAIN_NEUROTYPES_HPROGM				HAY_BONE_MARROW_STROMAL	
151887	CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL											MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL						HAY_BONE_MARROW_STROMAL	
928	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES	FAN_EMBRYONIC_CTX_BIG_GROUPS_GLIAL															GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			
10630	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	MANNO_MIDBRAIN_NEUROTYPES_HRGL1		MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM						GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			
4853	NOTCH2	notch receptor 2 [Source:HGNC Symbol;Acc:HGNC:7882]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A	ZHONG_PFC_C9_ORG_OTHER	MANNO_MIDBRAIN_NEUROTYPES_HRGL3			MANNO_MIDBRAIN_NEUROTYPES_HRGL1				MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
6662	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C	MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	MANNO_MIDBRAIN_NEUROTYPES_HRGL1			MANNO_MIDBRAIN_NEUROTYPES_HOPC		ZHONG_PFC_MAJOR_TYPES_NPCS			GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	
5376	PMP22	peripheral myelin protein 22 [Source:HGNC Symbol;Acc:HGNC:9118]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C		MANNO_MIDBRAIN_NEUROTYPES_HRGL1			MANNO_MIDBRAIN_NEUROTYPES_HOPC	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL			DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA	GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
9444	QKI	QKI, KH domain containing RNA binding [Source:HGNC Symbol;Acc:HGNC:21100]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C		MANNO_MIDBRAIN_NEUROTYPES_HRGL1			MANNO_MIDBRAIN_NEUROTYPES_HOPC	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL			DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_OLFACTORY_ENSHEATHING_GLIA				
677	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3		MANNO_MIDBRAIN_NEUROTYPES_HPROGBP	MANNO_MIDBRAIN_NEUROTYPES_HRGL1	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPL	MANNO_MIDBRAIN_NEUROTYPES_HPROGFPM	MANNO_MIDBRAIN_NEUROTYPES_HOPC	MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL		MANNO_MIDBRAIN_NEUROTYPES_HPROGM		GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION			
7412	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES		MANNO_MIDBRAIN_NEUROTYPES_HRGL2B	MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3											GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
5654	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES			MANNO_MIDBRAIN_NEUROTYPES_HRGL2A		MANNO_MIDBRAIN_NEUROTYPES_HRGL3	MANNO_MIDBRAIN_NEUROTYPES_HRGL2C						MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL				GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION		HAY_BONE_MARROW_STROMAL	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1901	S1PR1	sphingosine-1-phosphate receptor 1 [Source:HGNC Symbol;Acc:HGNC:3165]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES			MANNO_MIDBRAIN_NEUROTYPES_HRGL2A					MANNO_MIDBRAIN_NEUROTYPES_HRGL1								GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	LEIN_ASTROCYTE_MARKERS		
53919	SLCO1C1	solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]	ZHONG_PFC_MAJOR_TYPES_ASTROCYTES				ZHONG_PFC_C9_ORG_OTHER														HAY_BONE_MARROW_STROMAL	
